imo,ship_name,type,issue,expiry,technical_efficiency_number
9388900,LISA AUERBACH,General cargo ship,2019-04-30,2020-06-30,3.0
9388912,LEANNE AUERBACH,General cargo ship,2019-04-30,2020-06-30,3.0
9394519,EMMY SCHULTE,Chemical tanker,2019-02-05,2020-06-30,13.4
9396749,ELANDRA BLU,Chemical tanker,2019-10-04,2020-06-30,10.8
9396751,ELANDRA CORALLO,Chemical tanker,2019-10-04,2020-06-30,10.8
9399349,BUNGA ANGSANA,Chemical tanker,2019-05-15,2020-06-30,4.67
9399882,LEFKARA,Oil tanker,2019-03-05,2020-06-30,14.4
9399894,GERAKAS,Oil tanker,2019-09-05,2020-06-30,14.4
9399909,OMODOS,Oil tanker,2019-03-05,2020-06-30,14.5
9405899,MERSINI,Oil tanker,2019-09-05,2020-06-30,14.7
9405904,KLARA,Oil tanker,2019-03-05,2020-06-30,9.2
9406001,FRONT ODIN,Oil tanker,2019-04-18,2020-06-30,2.0
9413688,ELANDRA ANGEL,Oil tanker,2019-10-04,2020-06-30,7.1
9414266,ARGENT HIBISCUS,Chemical tanker,2019-04-29,2020-06-30,17.0
9417141,E SHIP 1,General cargo ship,2019-04-30,2020-06-30,3.0
9419644,SEOUL TRADER,Container ship,2019-06-19,2020-06-30,16.73
9419668,BUSAN TRADER,Container ship,2019-06-20,2020-06-30,19.01
9420631,KARAVAS,Oil tanker,2019-05-14,2020-06-30,9.3
9420643,DREPANOS,Oil tanker,2019-09-05,2020-06-30,9.3
9424560,INDUSTRIAL GRACE,General cargo ship,2019-04-30,2020-06-30,3.0
9424572,INDUSTRIAL GUIDE,General cargo ship,2019-04-30,2020-06-30,3.0
9424596,ARGENT GERBERA,Chemical tanker,2019-04-29,2020-06-30,13.0
9426013,CLAIRE Z,Bulk carrier,2019-07-06,2020-06-30,4.04
9433444,ATLANTIC EAST,Container ship,2019-11-19,2020-06-30,34.49
9435026,BBC TENNESSEE,General cargo ship,2019-04-30,2020-06-30,3.0
9436214,SAMSKIP INNOVATOR,Container ship,2019-12-04,2020-06-30,27.11
9436290,SAMSKIP ENDEAVOUR,Container ship,2019-12-04,2020-06-30,27.11
9436446,NORDIC LIGHT,Oil tanker,2019-06-20,2020-06-30,3.16
9441154,CAPE TALLIN,Oil tanker,2019-06-20,2020-06-30,4.62
9441166,CAPE TAMPA,Oil tanker,2019-06-20,2020-06-30,4.87
9449429,CAPE DAWSON,Chemical tanker,2019-06-20,2020-06-30,11.1
9449431,CAPE DALY,Chemical tanker,2019-06-24,2020-06-30,11.42
9456991,RHINE MAERSK,Container ship,2019-06-13,2020-06-30,11.95
9457000,RHONE MAERSK,Container ship,2019-06-13,2020-06-30,11.95
9457842,SHUANG XI,Bulk carrier,2019-06-14,2020-06-30,4.04
9459369,DUBAI MOON-I,Bulk carrier,2019-05-14,2020-06-30,9.2
9460605,PENTA,Bulk carrier,2019-04-18,2020-06-30,3.46
9468310,ONE ARCADIA,Container ship,2019-06-19,2020-06-30,20.7
9469778,THORCO ISADORA,General cargo ship,2019-06-05,2020-06-30,3.0
9469780,THORCO ISABELLA,General cargo ship,2019-04-30,2020-06-30,3.0
9473468,CITY OF ROTTERDAM,Vehicle carrier,2019-02-05,2020-06-30,14.7
9482550,ELANDRA FJORD,Chemical tanker,2019-10-04,2020-06-30,9.4
9486518,NEW VIGOROUS,Oil tanker,2019-04-23,2020-06-30,2.66
9486594,INTERLINK PARITY,Bulk carrier,2019-04-30,2020-06-30,5.81
9488035,BRATTINGSBORG,Bulk carrier,2019-06-27,2020-06-30,10.96
9488047,BILLESBORG,Bulk carrier,2019-06-08,2020-06-30,10.96
9491472,AMERDIJK,Container ship,2019-06-06,2020-06-30,22.32
9492103,AMITY,Bulk carrier,2019-12-04,2020-06-30,2.9
9492323,THE PROSPECTOR,Oil tanker,2019-05-21,2020-06-30,10.37
9494591,KOTA CANTIK,Container ship,2019-04-30,2020-06-30,17.67
9496628,YM EXPRESS,Container ship,2019-04-30,2020-06-30,16.22
9498389,AAL PUSAN,General cargo ship,2019-06-25,2020-06-30,9.96
9498444,AAL KOBE,General cargo ship,2019-06-20,2020-06-30,9.96
9498482,AAL NEWCASTLE,General cargo ship,2019-06-20,2020-06-30,9.95
9502336,SAGA FREYA,General cargo ship,2019-04-22,2020-06-30,5.1
9508938,BUNGA LUCERNE,Oil tanker,2019-05-27,2020-06-30,2.3
9513115,ARAGONA,Oil tanker,2019-04-25,2020-06-30,2.47
9516258,KOURION,Oil tanker,2019-03-05,2020-06-30,14.6
9521564,AAL BANGKOK,General cargo ship,2019-06-20,2020-06-30,12.28
9521758,REGALICA,Bulk carrier,2019-04-26,2020-06-30,10.03
9526875,MAERSK LIMA,Container ship,2019-11-06,2020-06-30,10.02
9526899,MAERSK LA PAZ,Container ship,2019-11-06,2020-06-30,10.02
9526930,MAERSK LEBU,Container ship,2019-06-06,2020-06-30,10.02
9543885,ASIA OPAL,Bulk carrier,2019-06-20,2020-06-30,4.42
9543938,THORCO EMPIRE,General cargo ship,2019-04-30,2020-06-30,3.0
9563744,BBC RUBY,General cargo ship,2019-04-29,2020-06-30,15.21
9566825,GRAND ALMA,Bulk carrier,2019-06-20,2020-06-30,8.2
9566849,GRAND MARCIA,Bulk carrier,2019-06-20,2020-06-30,9.29
9567958,SERENE AMELIA,Bulk carrier,2019-07-06,2020-06-30,4.63
9570632,TUNGOR,General cargo ship,2019-05-20,2020-06-30,15.0
9571313,CAPE MANILA,Container ship,2019-06-24,2020-06-30,17.55
9574999,SABO EX. ALAED,General cargo ship,2019-05-20,2020-06-30,15.0
9575096,HARBOUR SPLENDOR,Oil tanker,2019-08-03,2020-06-30,2.53
9575101,SEA SPLENDOR,Oil tanker,2019-08-03,2020-06-30,2.48
9575254,SAGE SANAGA,Bulk carrier,2019-04-23,2020-06-30,3.93
9575981,KOTOR,Bulk carrier,2019-04-24,2020-06-30,6.07
9577991,JS CAESAR,Gas carrier,2019-06-30,2020-06-30,22.22
9578000,JS CHUKAR,Gas carrier,2019-06-30,2020-06-30,22.22
9578012,JS ALULAR,Gas carrier,2019-06-30,2020-06-30,22.22
9578036,JS LEKVAR,Gas carrier,2019-06-30,2020-06-30,22.22
9587829,ADARA,Chemical tanker,2019-06-28,2020-06-30,1.24
9593775,YANGTZE XING XIU,Bulk carrier,2019-02-04,2020-06-30,4.28
9594731,BRAZOS,Oil tanker,2019-04-19,2020-06-30,2.64
9594884,ABBEY ROAD,Oil tanker,2019-04-30,2020-06-30,4.5
9597202,ALPHA VISION,Bulk carrier,2019-04-23,2020-06-30,4.15
9597276,EAGLE VERSAILLES,Oil tanker,2019-07-05,2020-06-30,2.09
9607435,MILITOS,Oil tanker,2019-12-07,2020-06-30,3.21
9609615,SCARLET ROBIN,Bulk carrier,2019-06-24,2020-06-30,3.22
9618862,DOROTHEA SCHULTE,Gas carrier,2019-02-05,2020-06-30,11.8
9619452,MSC ARICA,Container ship,2019-04-26,2020-06-30,10.99
9619593,KEN STAR,Bulk carrier,2019-04-30,2020-06-30,13.47
9624005,DONATA SCHULTE,Gas carrier,2019-05-20,2020-06-30,11.8
9628257,ATLANTIC VENUS,Bulk carrier,2019-04-23,2020-06-30,19.1
9629639,GREAT HOPE,Bulk carrier,2019-04-30,2020-06-30,3.28
9632600,ASIA EMERALD I,Bulk carrier,2019-06-20,2020-06-30,4.75
9632612,ASIA EMERALD IV,Bulk carrier,2019-06-20,2020-06-30,4.86
9634086,GASLOG SEATTLE,LNG carrier,2019-04-25,2020-06-30,7.07
9635755,LEOPARD MOON,Chemical tanker,2019-10-04,2020-06-30,9.8
9635767,ELANDRA STAR,Chemical tanker,2019-10-04,2020-06-30,9.8
9635779,ELANDRA SEA,Chemical tanker,2019-10-04,2020-06-30,9.8
9635810,BW PUMA,Chemical tanker,2019-04-28,2020-06-30,4.12
9638070,IONIC SMYRNI,Bulk carrier,2019-04-23,2020-06-30,4.83
9638159,CIELO DI TOCOPILLA,Bulk carrier,2019-05-06,2020-06-30,4.64
9643623,THORCO LIVA,General cargo ship,2019-04-30,2020-06-30,3.0
9644055,GLOBAL ROUND,Bulk carrier,2019-04-25,2020-06-30,3.5
9645865,CSCL SUMMER,Container ship,2019-04-29,2020-06-30,11.82
9646704,APPALOOSA,Bulk carrier,2019-04-06,2020-06-30,5.43
9652583,TRUSTN TRADER II,Bulk carrier,2019-04-17,2020-06-30,3.43
9658989,FEDERAL TAKASE,Bulk carrier,2019-04-25,2020-06-30,3.91
9666027,SPRING COSMOS,Bulk carrier,2019-04-24,2020-06-30,3.91
9668934,ULTRA TOLHUACA,Bulk carrier,2019-04-30,2020-06-30,4.59
9671802,HAOYUE,Bulk carrier,2019-02-07,2020-06-30,3.58
9673783,STAR NICOLE,Bulk carrier,2019-06-26,2020-06-30,3.29
9675731,INLAND SEA,Bulk carrier,2019-04-23,2020-06-30,3.75
9676125,EAGLE BARENTS,Oil tanker,2020-02-17,2020-06-30,3.59
9676137,EAGLE BERGEN,Oil tanker,2020-02-17,2020-06-30,3.59
9676527,GREEN HELLAS,Oil tanker,2019-04-22,2020-06-30,4.38
9678484,GOLDEN DEB,Bulk carrier,2019-04-23,2020-06-30,3.4
9681120,STI SAN ANTONIO,Oil tanker,2019-02-05,2020-06-30,4.31
9681962,GRETKE OLDENDORFF,Bulk carrier,2019-04-30,2020-06-30,3.53
9682382,SILVER CARLA,Chemical tanker,2019-06-24,2020-06-30,4.4
9683245,KSL SEATTLE,Bulk carrier,2019-04-24,2020-06-30,2.43
9683269,KSL SYDNEY,Bulk carrier,2019-04-24,2020-06-30,2.44
9683271,KSL SALVADOR,Bulk carrier,2019-04-29,2020-06-30,2.43
9683415,SILVER LINDA,Chemical tanker,2019-04-29,2020-06-30,4.37
9686326,SEAFIGHTER,Bulk carrier,2019-04-23,2020-06-30,2.47
9687837,BTG EVEREST,Bulk carrier,2019-04-27,2020-06-30,3.24
9687849,BTG KAILASH,Bulk carrier,2019-04-29,2020-06-30,3.22
9687851,BTG DENALI,Bulk carrier,2019-04-29,2020-06-30,3.24
9689134,HIGH SUN,Oil tanker,2019-04-16,2020-06-30,4.18
9692296,SILVER PHILIPPA,Chemical tanker,2019-06-20,2020-06-30,4.41
9692313,SILVER CAITRIONA,Chemical tanker,2019-04-29,2020-06-30,4.34
9692351,SILVER EBALINA,Oil tanker,2019-04-30,2020-06-30,4.29
9692416,FAIRCHEM BLADE,Chemical tanker,2019-04-23,2020-06-30,7.99
9692662,GOLDEN CECILIE,Bulk carrier,2019-04-23,2020-06-30,4.13
9693082,YPAPANTI,Oil tanker,2019-09-20,2020-06-30,2.75
9693197,RIGI VENTURE,Bulk carrier,2019-07-06,2020-06-30,3.99
9694191,DONG-A KRIOS,Chemical tanker,2019-11-04,2020-06-30,4.15
9694385,ZITA SCHULTE,Gas carrier,2019-02-05,2020-06-30,9.1
9694490,KYPROS BRAVERY,Bulk carrier,2019-04-22,2020-06-30,3.74
9694622,SALTRAM,Gas carrier,2019-04-24,2020-06-30,5.83
9694933,DIAVOLEZZA,Bulk carrier,2019-03-05,2020-06-30,3.33
9696113,NIGHTKISS,Bulk carrier,2019-04-26,2020-06-30,2.55
9697868,SAKIZAYA DIAMOND,Bulk carrier,2019-04-23,2020-06-30,3.57
9697870,VITA FUTURE,Bulk carrier,2019-04-26,2020-06-30,3.52
9699036,NAUTICAL HILARY,Bulk carrier,2019-06-06,2020-06-30,3.87
9699115,UASC UMM QASR,Container ship,2019-04-29,2020-06-30,8.64
9699270,SBI ARIES,Bulk carrier,2019-04-30,2020-06-30,3.76
9699311,NAUTICAL LOREDANA,Bulk carrier,2019-06-13,2020-06-30,3.89
9699335,NAUTICAL RUNA,Bulk carrier,2019-06-24,2020-06-30,3.95
9699347,NAUTICAL ELISABETH,Bulk carrier,2019-06-06,2020-06-30,3.88
9699880,MOREA,Bulk carrier,2019-09-20,2020-06-30,4.05
9700665,LAURA,Bulk carrier,2019-08-05,2020-06-30,3.94
9701334,GOLDEN ASO,Bulk carrier,2019-04-23,2020-06-30,2.42
9701346,GOLDEN FINSBURY,Bulk carrier,2019-04-23,2020-06-30,2.46
9702613,EDWARD OLDENDORFF,General cargo ship,2019-04-30,2020-06-30,4.74
9702625,ELSA OLDENDORFF,General cargo ship,2019-04-30,2020-06-30,4.73
9702687,ANANGEL HERO,Bulk carrier,2019-04-25,2020-06-30,2.53
9702699,ANANGEL HORIZON,Bulk carrier,2019-04-25,2020-06-30,2.53
9702716,XING SHENG HAI,Bulk carrier,2019-05-15,2020-06-30,3.59
9705134,COURAGEOUS,Bulk carrier,2019-04-25,2020-06-30,2.42
9705160,SBI SUBARU,Bulk carrier,2019-04-30,2020-06-30,3.84
9708162,HUAYANG ROSE,Bulk carrier,2019-04-28,2020-06-30,3.9
9708215,ARDMORE SEAFOX,Chemical tanker,2019-04-27,2020-06-30,4.15
9708992,BELGRANO,Bulk carrier,2019-05-20,2020-06-30,3.55
9709312,DAIWAN JUSTICE,Bulk carrier,2019-04-23,2020-06-30,5.72
9709336,DAIWAN HERO,Bulk carrier,2019-04-23,2020-06-30,5.78
9710139,BTG RAINIER,Bulk carrier,2019-04-30,2020-06-30,3.24
9710177,CHIPOLBROK PACIFIC,General cargo ship,2019-04-28,2020-06-30,6.99
9711286,NEMEA,Bulk carrier,2019-06-21,2020-06-30,3.9
9711731,INTERLINK CAPACITY,Bulk carrier,2019-04-30,2020-06-30,4.49
9711755,INTERLINK FORTUITY,Bulk carrier,2019-08-05,2020-06-30,4.45
9711901,SHIKOKU ISLAND,Bulk carrier,2019-04-25,2020-06-30,5.5
9712163,OCEAN VENTURE,Bulk carrier,2019-05-06,2020-06-30,3.99
9712199,TIGER PIONEER,Bulk carrier,2019-04-26,2020-06-30,3.84
9712216,TIGER JILIN,Bulk carrier,2019-04-26,2020-06-30,3.76
9712474,SALDANHA BAY,Bulk carrier,2019-04-26,2020-06-30,5.0
9712656,IVS SPARROWHAWK,Bulk carrier,2019-04-29,2020-06-30,5.01
9713181,BERGE ASAHIDAKE,Bulk carrier,2019-04-26,2020-06-30,5.15
9713612,KRIS KIN,Gas carrier,2019-04-26,2020-06-30,17.84
9713624,KISBER,Gas carrier,2019-04-26,2020-06-30,18.1
9713959,ERIETTA,Bulk carrier,2019-04-24,2020-06-30,4.32
9714240,LUISE OLDENDORFF,Bulk carrier,2019-04-29,2020-06-30,2.23
9715323,GNG CONCORD 3,Bulk carrier,2019-03-04,2020-06-30,3.61
9715452,PRESINGE,Bulk carrier,2019-04-23,2020-06-30,3.55
9715464,HERUN GLOBAL,Bulk carrier,2019-04-25,2020-06-30,2.37
9715816,BERGEN,Bulk carrier,2019-04-23,2020-06-30,4.08
9717656,ELIZABETH OLDENDORFF,General cargo ship,2019-04-29,2020-06-30,4.8
9717773,JENNINGS BAY,Oil tanker,2019-02-05,2020-06-30,4.26
9718090,MAERSK TIMARU,Oil tanker,2019-06-21,2020-06-30,4.17
9718351,HELENA OLDENDORFF,Bulk carrier,2019-04-29,2020-06-30,2.13
9718428,SILVER ENTALINA,Oil tanker,2019-04-30,2020-06-30,4.31
9718911,YANGZE 7,Bulk carrier,2019-01-07,2020-06-30,3.84
9718997,AGRI GRANDE,Bulk carrier,2019-04-26,2020-06-30,3.56
9719379,TS FLOWER,Bulk carrier,2019-04-22,2020-06-30,5.28
9719496,BW LIBRA,Gas carrier,2019-04-26,2020-06-30,5.77
9719692,STI SYMPHONY,Oil tanker,2019-06-05,2020-06-30,3.1
9719939,KSL SANTOS,Bulk carrier,2019-04-24,2020-06-30,2.44
9720067,CYPRESS ARROW,General cargo ship,2019-04-29,2020-06-30,3.94
9721891,MARLIN APATITE,Oil tanker,2019-05-23,2020-06-30,4.72
9722015,BALTIC WASP,Bulk carrier,2019-04-18,2020-06-30,3.79
9722041,GH CITATION,Bulk carrier,2019-04-21,2020-06-30,4.06
9722065,GUO QIANG 8,Bulk carrier,2019-04-30,2020-06-30,3.84
9722455,IYO SEA,Bulk carrier,2019-04-24,2020-06-30,5.5
9722467,ICY BAY,Bulk carrier,2019-04-23,2020-06-30,5.53
9722780,MARCELLUS LADY,Gas carrier,2019-04-26,2020-06-30,7.38
9722900,DHT PANTHER,Oil tanker,2019-03-22,2020-06-30,2.2
9723069,DOMINICA,Oil tanker,2019-11-03,2020-06-30,2.16
9723083,DONOUSSA,Oil tanker,2019-04-23,2020-06-30,2.59
9723538,GOLDEN SAVANNAH,Bulk carrier,2019-04-24,2020-06-30,2.44
9723681,SUMIRE GAS,Gas carrier,2019-04-24,2020-06-30,6.2
9723992,SBI COUGAR,Bulk carrier,2019-06-05,2020-06-30,3.92
9724063,ALBATROSS TRADER,Chemical tanker,2019-05-24,2020-06-30,8.18
9724099,BIRDIE TRADER,Chemical tanker,2019-05-27,2020-06-30,8.25
9724192,LOWLANDS NELLO,Bulk carrier,2019-06-26,2020-06-30,3.36
9724647,PINK SANDS,Bulk carrier,2019-04-23,2020-06-30,2.33
9724673,BRITISH SAILOR,Chemical tanker,2019-10-05,2020-06-30,4.98
9724829,TEMPO,Bulk carrier,2019-04-17,2020-06-30,2.05
9725407,XING RU HAI,Bulk carrier,2019-04-30,2020-06-30,4.72
9725433,VIKING SUN,Passenger ship,2019-07-05,2020-06-30,9.2
9725859,TIGER HARMONY,Chemical tanker,2019-04-26,2020-06-30,7.29
9726126,SINNDAR,Gas carrier,2019-04-26,2020-06-30,5.94
9726463,MAERSK TEESPORT,Oil tanker,2019-06-21,2020-06-30,4.08
9727003,GENER8 SUCCESS,Oil tanker,2019-04-23,2020-06-30,2.09
9727027,GENER8 CHIOTIS,Oil tanker,2019-11-03,2020-06-30,2.08
9727039,GENER8 MILTIADES,Oil tanker,2019-11-03,2020-06-30,2.1
9727156,ADA,Bulk carrier,2019-09-20,2020-06-30,3.5
9727168,ZANTE,Bulk carrier,2019-09-20,2020-06-30,3.64
9727285,GLENGYLE,Bulk carrier,2019-04-24,2020-06-30,5.55
9727297,AFRICAN ARROW,Bulk carrier,2019-04-24,2020-06-30,4.06
9727376,INSPIRATION LAKE,Bulk carrier,2019-04-24,2020-06-30,5.57
9727479,ARIETTA LILY,Bulk carrier,2019-04-29,2020-06-30,3.52
9728136,LOWLANDS COMFORT,Bulk carrier,2019-04-10,2020-06-30,3.55
9728215,AOM BIANCA,Bulk carrier,2019-04-26,2020-06-30,3.51
